file,title,author,licenses,source_page,size_bytes
bulk/space-bass/Space Bass_0.ogg,Space Bass,Fupi,CC0,https://opengameart.org/content/space-bass,3045785
bulk/orchestral-adventure/epic loop.mp3,Orchestral Adventure,CodeManu,CC-BY 3.0,https://opengameart.org/content/orchestral-adventure,820105
bulk/space-bass/Space Bass.flac,Space Bass,Fupi,CC0,https://opengameart.org/content/space-bass,9480852
bulk/sad-walk-with-sad-melodica/Komiku - It's time for adventure vol 2 - 14 Sad walk with sad melodica_0.mp3,Sad walk with sad melodica,Loyalty Freak Music,CC0,https://opengameart.org/content/sad-walk-with-sad-melodica,7810558
bulk/red-heels-piano-ver/Red Heels piano ver_0.mp3,Red Heels (piano ver),TAD,CC0,https://opengameart.org/content/red-heels-piano-ver,2798572
bulk/jazz-n-brass-loop/jazznbrass loop.wav,Jazz n' brass loop,Emma_MA,CC0; Public Domain,https://opengameart.org/content/jazz-n-brass-loop,4840736
bulk/circuit-punk-game-menu-looping/circuit-punk-game-menu_0.mp3,Circuit Punk Game Menu (Looping),Eric Matyas,CC-BY 3.0,https://opengameart.org/content/circuit-punk-game-menu-looping,584507
bulk/ladada-guitar/LaDaDaGuitar_2.mp3,LaDaDa Guitar,Pro Sensory,CC0,https://opengameart.org/content/ladada-guitar,3688324
bulk/dark-shrine-loop/qubodup-yd-DarkShrineLoop-OpenGameArt.ogg,Dark Shrine Loop,qubodup,CC0,https://opengameart.org/content/dark-shrine-loop,678630
bulk/dark-shrine-loop/qubodup-yd-DarkShrineLoop-OpenGameArt.mp3,Dark Shrine Loop,qubodup,CC0,https://opengameart.org/content/dark-shrine-loop,905717
